question=['chicago' 'illinois' 'houston' 'texas'], predicted=texas
question=['reno' 'nevada' 'scottsdale' 'arizona'], predicted=arizona
question=['reno' 'nevada' 'fremont' 'california'], predicted=california
question=['reno' 'nevada' 'irvine' 'california'], predicted=california
question=['reno' 'nevada' 'modesto' 'california'], predicted=california
question=['reno' 'nevada' 'akron' 'ohio'], predicted=ohio
question=['reno' 'nevada' 'glendale' 'california'], predicted=california
question=['reno' 'nevada' 'tallahassee' 'florida'], predicted=florida
question=['reno' 'nevada' 'chicago' 'illinois'], predicted=illinois
question=['reno' 'nevada' 'houston' 'texas'], predicted=texas
question=['reno' 'nevada' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['reno' 'nevada' 'phoenix' 'arizona'], predicted=arizona
question=['reno' 'nevada' 'dallas' 'texas'], predicted=texas
question=['reno' 'nevada' 'detroit' 'michigan'], predicted=michigan
question=['reno' 'nevada' 'memphis' 'tennessee'], predicted=tennessee
question=['reno' 'nevada' 'boston' 'massachusetts'], predicted=massachusetts
question=['reno' 'nevada' 'denver' 'colorado'], predicted=colorado
question=['reno' 'nevada' 'baltimore' 'maryland'], predicted=maryland
question=['reno' 'nevada' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['reno' 'nevada' 'portland' 'oregon'], predicted=oregon
question=['reno' 'nevada' 'tucson' 'arizona'], predicted=arizona
question=['reno' 'nevada' 'fresno' 'california'], predicted=california
question=['reno' 'nevada' 'sacramento' 'california'], predicted=california
question=['scottsdale' 'arizona' 'irvine' 'california'], predicted=california
question=['scottsdale' 'arizona' 'modesto' 'california'], predicted=california
question=['scottsdale' 'arizona' 'shreveport' 'louisiana'], predicted=louisiana
question=['scottsdale' 'arizona' 'akron' 'ohio'], predicted=ohio
question=['scottsdale' 'arizona' 'glendale' 'california'], predicted=california
question=['scottsdale' 'arizona' 'tallahassee' 'florida'], predicted=florida
question=['scottsdale' 'arizona' 'huntsville' 'alabama'], predicted=alabama
question=['scottsdale' 'arizona' 'chicago' 'illinois'], predicted=illinois
question=['scottsdale' 'arizona' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['scottsdale' 'arizona' 'dallas' 'texas'], predicted=texas
question=['scottsdale' 'arizona' 'jacksonville' 'florida'], predicted=florida
question=['scottsdale' 'arizona' 'indianapolis' 'indiana'], predicted=indiana
question=['scottsdale' 'arizona' 'detroit' 'michigan'], predicted=michigan
question=['scottsdale' 'arizona' 'memphis' 'tennessee'], predicted=tennessee
question=['scottsdale' 'arizona' 'seattle' 'washington'], predicted=washington
question=['scottsdale' 'arizona' 'denver' 'colorado'], predicted=colorado
question=['scottsdale' 'arizona' 'baltimore' 'maryland'], predicted=maryland
question=['scottsdale' 'arizona' 'nashville' 'tennessee'], predicted=tennessee
question=['scottsdale' 'arizona' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['scottsdale' 'arizona' 'portland' 'oregon'], predicted=oregon
question=['scottsdale' 'arizona' 'fresno' 'california'], predicted=california
question=['scottsdale' 'arizona' 'omaha' 'nebraska'], predicted=nebraska
question=['irving' 'texas' 'fremont' 'california'], predicted=california
question=['irving' 'texas' 'irvine' 'california'], predicted=california
question=['irving' 'texas' 'modesto' 'california'], predicted=california
question=['irving' 'texas' 'glendale' 'california'], predicted=california
question=['irving' 'texas' 'tallahassee' 'florida'], predicted=florida
question=['irving' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['irving' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['irving' 'texas' 'jacksonville' 'florida'], predicted=florida
question=['irving' 'texas' 'denver' 'colorado'], predicted=colorado
question=['irving' 'texas' 'baltimore' 'maryland'], predicted=maryland
question=['irving' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['irving' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['irving' 'texas' 'portland' 'oregon'], predicted=oregon
question=['irving' 'texas' 'fresno' 'california'], predicted=california
question=['irving' 'texas' 'sacramento' 'california'], predicted=california
question=['irving' 'texas' 'miami' 'florida'], predicted=florida
question=['fremont' 'california' 'akron' 'ohio'], predicted=ohio
question=['fremont' 'california' 'amarillo' 'texas'], predicted=texas
question=['fremont' 'california' 'tallahassee' 'florida'], predicted=florida
question=['fremont' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['fremont' 'california' 'chicago' 'illinois'], predicted=illinois
question=['fremont' 'california' 'houston' 'texas'], predicted=texas
question=['fremont' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['fremont' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['fremont' 'california' 'dallas' 'texas'], predicted=texas
question=['fremont' 'california' 'austin' 'texas'], predicted=texas
question=['fremont' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['fremont' 'california' 'denver' 'colorado'], predicted=colorado
question=['fremont' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['fremont' 'california' 'portland' 'oregon'], predicted=oregon
question=['fremont' 'california' 'tucson' 'arizona'], predicted=arizona
question=['fremont' 'california' 'miami' 'florida'], predicted=florida
question=['fremont' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['irvine' 'california' 'shreveport' 'louisiana'], predicted=louisiana
question=['irvine' 'california' 'akron' 'ohio'], predicted=ohio
question=['irvine' 'california' 'amarillo' 'texas'], predicted=texas
question=['irvine' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['irvine' 'california' 'chicago' 'illinois'], predicted=illinois
question=['irvine' 'california' 'houston' 'texas'], predicted=texas
question=['irvine' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['irvine' 'california' 'dallas' 'texas'], predicted=texas
question=['irvine' 'california' 'austin' 'texas'], predicted=texas
question=['irvine' 'california' 'boston' 'massachusetts'], predicted=massachusetts
question=['irvine' 'california' 'denver' 'colorado'], predicted=colorado
question=['irvine' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['irvine' 'california' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['irvine' 'california' 'portland' 'oregon'], predicted=oregon
question=['irvine' 'california' 'tucson' 'arizona'], predicted=arizona
question=['irvine' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['irvine' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['spokane' 'washington' 'akron' 'ohio'], predicted=ohio
question=['spokane' 'washington' 'huntsville' 'alabama'], predicted=alabama
question=['spokane' 'washington' 'chicago' 'illinois'], predicted=illinois
question=['spokane' 'washington' 'boston' 'massachusetts'], predicted=massachusetts
question=['spokane' 'washington' 'baltimore' 'maryland'], predicted=maryland
question=['spokane' 'washington' 'louisville' 'kentucky'], predicted=kentucky
question=['spokane' 'washington' 'cleveland' 'ohio'], predicted=ohio
question=['modesto' 'california' 'shreveport' 'louisiana'], predicted=louisiana
question=['modesto' 'california' 'akron' 'ohio'], predicted=ohio
question=['modesto' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['modesto' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['modesto' 'california' 'chicago' 'illinois'], predicted=illinois
question=['modesto' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['modesto' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['modesto' 'california' 'denver' 'colorado'], predicted=colorado
question=['modesto' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['modesto' 'california' 'portland' 'oregon'], predicted=oregon
question=['modesto' 'california' 'tucson' 'arizona'], predicted=arizona
question=['modesto' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['modesto' 'california' 'minneapolis' 'minnesota'], predicted=minnesota
question=['shreveport' 'louisiana' 'glendale' 'california'], predicted=california
question=['shreveport' 'louisiana' 'tallahassee' 'florida'], predicted=florida
question=['shreveport' 'louisiana' 'huntsville' 'alabama'], predicted=alabama
question=['shreveport' 'louisiana' 'chicago' 'illinois'], predicted=illinois
question=['shreveport' 'louisiana' 'houston' 'texas'], predicted=texas
question=['shreveport' 'louisiana' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['shreveport' 'louisiana' 'phoenix' 'arizona'], predicted=arizona
question=['shreveport' 'louisiana' 'dallas' 'texas'], predicted=texas
question=['shreveport' 'louisiana' 'jacksonville' 'florida'], predicted=florida
question=['shreveport' 'louisiana' 'indianapolis' 'indiana'], predicted=indiana
question=['shreveport' 'louisiana' 'austin' 'texas'], predicted=texas
question=['shreveport' 'louisiana' 'memphis' 'tennessee'], predicted=tennessee
question=['shreveport' 'louisiana' 'boston' 'massachusetts'], predicted=massachusetts
question=['shreveport' 'louisiana' 'seattle' 'washington'], predicted=washington
question=['shreveport' 'louisiana' 'denver' 'colorado'], predicted=colorado
question=['shreveport' 'louisiana' 'baltimore' 'maryland'], predicted=maryland
question=['shreveport' 'louisiana' 'nashville' 'tennessee'], predicted=tennessee
question=['shreveport' 'louisiana' 'louisville' 'kentucky'], predicted=kentucky
question=['shreveport' 'louisiana' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['shreveport' 'louisiana' 'portland' 'oregon'], predicted=oregon
question=['shreveport' 'louisiana' 'fresno' 'california'], predicted=california
question=['shreveport' 'louisiana' 'sacramento' 'california'], predicted=california
question=['shreveport' 'louisiana' 'atlanta' 'georgia'], predicted=georgia
question=['shreveport' 'louisiana' 'omaha' 'nebraska'], predicted=nebraska
question=['shreveport' 'louisiana' 'miami' 'florida'], predicted=florida
question=['shreveport' 'louisiana' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['shreveport' 'louisiana' 'oakland' 'california'], predicted=california
question=['shreveport' 'louisiana' 'cleveland' 'ohio'], predicted=ohio
question=['shreveport' 'louisiana' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tacoma' 'washington' 'akron' 'ohio'], predicted=ohio
question=['tacoma' 'washington' 'glendale' 'california'], predicted=california
question=['tacoma' 'washington' 'tallahassee' 'florida'], predicted=florida
question=['tacoma' 'washington' 'huntsville' 'alabama'], predicted=alabama
question=['tacoma' 'washington' 'worcester' 'massachusetts'], predicted=massachusetts
question=['tacoma' 'washington' 'chicago' 'illinois'], predicted=illinois
question=['tacoma' 'washington' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['tacoma' 'washington' 'phoenix' 'arizona'], predicted=arizona
question=['tacoma' 'washington' 'jacksonville' 'florida'], predicted=florida
question=['tacoma' 'washington' 'memphis' 'tennessee'], predicted=tennessee
question=['tacoma' 'washington' 'boston' 'massachusetts'], predicted=massachusetts
question=['tacoma' 'washington' 'louisville' 'kentucky'], predicted=kentucky
question=['tacoma' 'washington' 'portland' 'oregon'], predicted=oregon
question=['tacoma' 'washington' 'tucson' 'arizona'], predicted=arizona
question=['tacoma' 'washington' 'fresno' 'california'], predicted=california
question=['tacoma' 'washington' 'atlanta' 'georgia'], predicted=georgia
question=['tacoma' 'washington' 'omaha' 'nebraska'], predicted=nebraska
question=['tacoma' 'washington' 'miami' 'florida'], predicted=florida
question=['tacoma' 'washington' 'cleveland' 'ohio'], predicted=ohio
question=['tacoma' 'washington' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tacoma' 'washington' 'wichita' 'kansas'], predicted=kansas
question=['fontana' 'california' 'tallahassee' 'florida'], predicted=florida
question=['fontana' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['fontana' 'california' 'chicago' 'illinois'], predicted=illinois
question=['fontana' 'california' 'houston' 'texas'], predicted=texas
question=['fontana' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['fontana' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['fontana' 'california' 'dallas' 'texas'], predicted=texas
question=['fontana' 'california' 'jacksonville' 'florida'], predicted=florida
question=['fontana' 'california' 'indianapolis' 'indiana'], predicted=indiana
question=['fontana' 'california' 'detroit' 'michigan'], predicted=michigan
question=['fontana' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['fontana' 'california' 'denver' 'colorado'], predicted=colorado
question=['fontana' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['fontana' 'california' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['fontana' 'california' 'portland' 'oregon'], predicted=oregon
question=['fontana' 'california' 'tucson' 'arizona'], predicted=arizona
question=['fontana' 'california' 'miami' 'florida'], predicted=florida
question=['fontana' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['fontana' 'california' 'cleveland' 'ohio'], predicted=ohio
question=['fontana' 'california' 'minneapolis' 'minnesota'], predicted=minnesota
question=['fontana' 'california' 'tampa' 'florida'], predicted=florida
question=['akron' 'ohio' 'glendale' 'california'], predicted=california
question=['akron' 'ohio' 'chicago' 'illinois'], predicted=illinois
question=['akron' 'ohio' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['akron' 'ohio' 'phoenix' 'arizona'], predicted=arizona
question=['akron' 'ohio' 'indianapolis' 'indiana'], predicted=indiana
question=['akron' 'ohio' 'detroit' 'michigan'], predicted=michigan
question=['akron' 'ohio' 'memphis' 'tennessee'], predicted=tennessee
question=['akron' 'ohio' 'boston' 'massachusetts'], predicted=massachusetts
question=['akron' 'ohio' 'denver' 'colorado'], predicted=colorado
question=['akron' 'ohio' 'baltimore' 'maryland'], predicted=maryland
question=['akron' 'ohio' 'nashville' 'tennessee'], predicted=tennessee
question=['akron' 'ohio' 'louisville' 'kentucky'], predicted=kentucky
question=['akron' 'ohio' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['akron' 'ohio' 'portland' 'oregon'], predicted=oregon
question=['akron' 'ohio' 'tucson' 'arizona'], predicted=arizona
question=['akron' 'ohio' 'omaha' 'nebraska'], predicted=nebraska
question=['akron' 'ohio' 'miami' 'florida'], predicted=florida
question=['akron' 'ohio' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['akron' 'ohio' 'minneapolis' 'minnesota'], predicted=minnesota
question=['amarillo' 'texas' 'glendale' 'california'], predicted=california
question=['amarillo' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['amarillo' 'texas' 'worcester' 'massachusetts'], predicted=massachusetts
question=['amarillo' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['amarillo' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['amarillo' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['amarillo' 'texas' 'jacksonville' 'florida'], predicted=florida
question=['amarillo' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['amarillo' 'texas' 'boston' 'massachusetts'], predicted=massachusetts
question=['amarillo' 'texas' 'seattle' 'washington'], predicted=washington
question=['amarillo' 'texas' 'denver' 'colorado'], predicted=colorado
question=['amarillo' 'texas' 'baltimore' 'maryland'], predicted=maryland
question=['amarillo' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['amarillo' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['amarillo' 'texas' 'portland' 'oregon'], predicted=oregon
question=['amarillo' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['amarillo' 'texas' 'fresno' 'california'], predicted=california
question=['amarillo' 'texas' 'sacramento' 'california'], predicted=california
question=['amarillo' 'texas' 'omaha' 'nebraska'], predicted=nebraska
question=['amarillo' 'texas' 'miami' 'florida'], predicted=florida
question=['amarillo' 'texas' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['amarillo' 'texas' 'oakland' 'california'], predicted=california
question=['amarillo' 'texas' 'cleveland' 'ohio'], predicted=ohio
question=['amarillo' 'texas' 'minneapolis' 'minnesota'], predicted=minnesota
question=['amarillo' 'texas' 'wichita' 'kansas'], predicted=kansas
question=['amarillo' 'texas' 'bakersfield' 'california'], predicted=california
question=['amarillo' 'texas' 'anaheim' 'california'], predicted=california
question=['glendale' 'california' 'tallahassee' 'florida'], predicted=florida
question=['glendale' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['glendale' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['glendale' 'california' 'chicago' 'illinois'], predicted=illinois
question=['glendale' 'california' 'houston' 'texas'], predicted=texas
question=['glendale' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['glendale' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['glendale' 'california' 'dallas' 'texas'], predicted=texas
question=['glendale' 'california' 'jacksonville' 'florida'], predicted=florida
question=['glendale' 'california' 'austin' 'texas'], predicted=texas
question=['glendale' 'california' 'detroit' 'michigan'], predicted=michigan
question=['glendale' 'california' 'memphis' 'tennessee'], predicted=tennessee
question=['glendale' 'california' 'boston' 'massachusetts'], predicted=massachusetts
question=['glendale' 'california' 'denver' 'colorado'], predicted=colorado
question=['glendale' 'california' 'baltimore' 'maryland'], predicted=maryland
question=['glendale' 'california' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['glendale' 'california' 'portland' 'oregon'], predicted=oregon
question=['glendale' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['glendale' 'california' 'miami' 'florida'], predicted=florida
question=['glendale' 'california' 'cleveland' 'ohio'], predicted=ohio
question=['glendale' 'california' 'minneapolis' 'minnesota'], predicted=minnesota
question=['glendale' 'california' 'tampa' 'florida'], predicted=florida
question=['glendale' 'california' 'honolulu' 'hawaii'], predicted=hawaii
question=['tallahassee' 'florida' 'huntsville' 'alabama'], predicted=alabama
question=['tallahassee' 'florida' 'chicago' 'illinois'], predicted=illinois
question=['tallahassee' 'florida' 'houston' 'texas'], predicted=texas
question=['tallahassee' 'florida' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['tallahassee' 'florida' 'phoenix' 'arizona'], predicted=arizona
question=['tallahassee' 'florida' 'dallas' 'texas'], predicted=texas
question=['tallahassee' 'florida' 'austin' 'texas'], predicted=texas
question=['tallahassee' 'florida' 'memphis' 'tennessee'], predicted=tennessee
question=['tallahassee' 'florida' 'boston' 'massachusetts'], predicted=massachusetts
question=['tallahassee' 'florida' 'denver' 'colorado'], predicted=colorado
question=['tallahassee' 'florida' 'baltimore' 'maryland'], predicted=maryland
question=['tallahassee' 'florida' 'nashville' 'tennessee'], predicted=tennessee
question=['tallahassee' 'florida' 'louisville' 'kentucky'], predicted=kentucky
question=['tallahassee' 'florida' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['tallahassee' 'florida' 'portland' 'oregon'], predicted=oregon
question=['tallahassee' 'florida' 'tucson' 'arizona'], predicted=arizona
question=['tallahassee' 'florida' 'fresno' 'california'], predicted=california
question=['tallahassee' 'florida' 'sacramento' 'california'], predicted=california
question=['tallahassee' 'florida' 'omaha' 'nebraska'], predicted=nebraska
question=['tallahassee' 'florida' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['tallahassee' 'florida' 'oakland' 'california'], predicted=california
question=['tallahassee' 'florida' 'cleveland' 'ohio'], predicted=ohio
question=['tallahassee' 'florida' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tallahassee' 'florida' 'bakersfield' 'california'], predicted=california
question=['tallahassee' 'florida' 'honolulu' 'hawaii'], predicted=hawaii
question=['huntsville' 'alabama' 'worcester' 'massachusetts'], predicted=massachusetts
question=['huntsville' 'alabama' 'chicago' 'illinois'], predicted=illinois
question=['huntsville' 'alabama' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['huntsville' 'alabama' 'phoenix' 'arizona'], predicted=arizona
question=['huntsville' 'alabama' 'dallas' 'texas'], predicted=texas
question=['huntsville' 'alabama' 'indianapolis' 'indiana'], predicted=indiana
question=['huntsville' 'alabama' 'memphis' 'tennessee'], predicted=tennessee
question=['huntsville' 'alabama' 'boston' 'massachusetts'], predicted=massachusetts
question=['huntsville' 'alabama' 'denver' 'colorado'], predicted=colorado
question=['huntsville' 'alabama' 'baltimore' 'maryland'], predicted=maryland
question=['huntsville' 'alabama' 'nashville' 'tennessee'], predicted=tennessee
question=['huntsville' 'alabama' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['huntsville' 'alabama' 'fresno' 'california'], predicted=california
question=['huntsville' 'alabama' 'atlanta' 'georgia'], predicted=georgia
question=['huntsville' 'alabama' 'omaha' 'nebraska'], predicted=nebraska
question=['huntsville' 'alabama' 'miami' 'florida'], predicted=florida
question=['huntsville' 'alabama' 'cleveland' 'ohio'], predicted=ohio
question=['huntsville' 'alabama' 'minneapolis' 'minnesota'], predicted=minnesota
question=['worcester' 'massachusetts' 'chicago' 'illinois'], predicted=illinois
question=['worcester' 'massachusetts' 'phoenix' 'arizona'], predicted=arizona
question=['worcester' 'massachusetts' 'jacksonville' 'florida'], predicted=florida
question=['worcester' 'massachusetts' 'memphis' 'tennessee'], predicted=tennessee
question=['worcester' 'massachusetts' 'denver' 'colorado'], predicted=colorado
question=['worcester' 'massachusetts' 'nashville' 'tennessee'], predicted=tennessee
question=['worcester' 'massachusetts' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['worcester' 'massachusetts' 'portland' 'oregon'], predicted=oregon
question=['worcester' 'massachusetts' 'fresno' 'california'], predicted=california
question=['worcester' 'massachusetts' 'sacramento' 'california'], predicted=california
question=['worcester' 'massachusetts' 'omaha' 'nebraska'], predicted=nebraska
question=['worcester' 'massachusetts' 'oakland' 'california'], predicted=california
question=['worcester' 'massachusetts' 'cleveland' 'ohio'], predicted=ohio
question=['worcester' 'massachusetts' 'minneapolis' 'minnesota'], predicted=minnesota
question=['worcester' 'massachusetts' 'wichita' 'kansas'], predicted=kansas
question=['worcester' 'massachusetts' 'bakersfield' 'california'], predicted=california
question=['worcester' 'massachusetts' 'anaheim' 'california'], predicted=california
question=['worcester' 'massachusetts' 'stockton' 'california'], predicted=california
question=['worcester' 'massachusetts' 'cincinnati' 'ohio'], predicted=ohio
